carrera,plan,cve_materia,nombre_materia,nivel,creditos,caracter,vigente
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6088,TRANSFORMACIONES DE FASES,8,10,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,1015,LIDERAZGO,8,1,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,1016,EMPRENDIMIENTO,8,2,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6090,ECOLOGIA II,9,8,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6106,SIMULACION,9,4,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6098,SELECCION Y USO DE MATERIALES,9,8,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6107,DISEÑO DE PROCESOS,10,5,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6086,,,,optativa-extractiva,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6093,SIDERURGIA,,6,optativa-extractiva,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6094,METALURGIA NO FERROSA,,6,optativa-extractiva,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6095,FLOTACION,,6,optativa-extractiva,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6101,TEMAS EN EXTRACTIVA,,6,optativa-extractiva,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6102,HIDRO Y ELECTROMETALURGIA,,6,optativa-extractiva,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6103,,,,optativa-extractiva,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6104,PIROMETALURGIA,,6,optativa-extractiva,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6105,,,,optativa-extractiva,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6108,PLANTAS DE BENEFICIO,,6,optativa-extractiva,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6121,PROBLEMAS METALURGICOS,,5,optativa-extractiva,true
